火力,1,2,3,4,5,6,7,8,9,10,11~12,13~14,15~16,17~18,19~20,21~22,23~24,25~26,27~29,30~32,33~35,36~38,39~41,42~45,46~49,50~
-3,,,,1,,,,,,,1,,,,,,,,1,,,,1,,,
-2,1,,,,1,1,1,,1,,,1,,,1,,1,,,,1,,,,1,1
-1,,1,1,,,,,1,,1,,,1,1,,1,,1,,1,,1,,1,,
0,1,,,,1,,,,1,,,,,1,,,,1,1,1,,,,,,
1,,,1,,,,1,,,,1,1,1,,,,,,,,1,1,1,,,
2,,,,1,1,1,,,,1,,,,,1,1,,,,,,,,1,1,
3,1,1,,,,,,,,,,,,,,1,1,1,1,,,,1,,,1
4,,,,1,,,1,,1,,,1,1,1,,,,1,,1,,,,1,1,
5,,1,,,,,,1,,1,1,,,,,1,1,,,,1,,,,,1
6,,,,1,,,,1,,,,,,,,,,,1,,,1,,,1,
7,1,,1,,,1,,,,,,1,,,1,,,,,,,,1,,,
8,,1,,,1,,,1,,1,,,1,1,,,1,,,1,1,,,1,,1
9,,,1,,,1,1,,1,,1,,,,1,,,,,,,1,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
防御力差,,,,,,,,,,,,,,,,,,,,,,,,,,
+0: D,,,,,,,,,,,,,,,,,,,,,,,,,,
+1: D,,,,,,,,,,,,,,,,,,,,,,,,,,
+2: DD,,,,,,,,,,,,,,,,,,,,,,,,,,
+3: 壊滅,,,,,,,,,,,,,,,,,,,,,,,,,,
E: 防御レベルに関係なく壊滅,,,,,,,,,,,,,,,,,,,,,,,,,,
