Index,氏名,個人DATA,試合数,チーム,背番号,ポジション,利き腕,走,S1,S2,バント,HR,2H+,2H,3H,1H*,1H+,1H,Fa,BS,BB,KS,K,ﾀﾌﾈｽ,特徴,備考,守備１,守備２,守備３,守備４,守備５,守備６,守備７,グレード,コントロール,三振,被本塁打,スタミナ,登板間隔
1,近本　光司,94.11.09生 140試 率.279 3本,140,25 Tigers,5,外野手,左投左打,F,5,78,0,01 01 00 00 00,02 02 02 02 01,06 05 04 04 03,07 06 05 ** **,13 12 10 09 07,20 17 15 13 11,33 29 26 22 18,38 34 29 25 21,51,64 62 59 57 55,100,94 91 87 84 80,S,IH,,OF=4(C), , , , , , ,,,,,,
2,中野　拓夢,96.06.28生 143試 率.282 0本,143,25 Tigers,51,内野手,右投左打,F,4,74,4,00 00 00 00 00,01 01 01 01 01,04 04 03 03 02,05 ** 04 ** 03,12 11 09 08 07,20 17 15 13 11,34 30 27 23 19,40 35 31 26 21,51,61 60 58 56 54,100,94 91 88 84 81,S,IH,,2B=4, , , , , , ,,,,,,
3,森下　翔太,00.08.14生 143試 率.275 23本,143,25 Tigers,1,外野手,右投右打,-,3,65,0,05 04 04 03 02,06 06 05 04 03,10 09 07 06 05,11 ** 08 07 06,16 14 12 10 08,21 18 16 14 11,31 27 24 20 17,37 33 29 24 20,51,65 63 60 57 55,100,94 91 87 83 80,S,DB,,OF=4, , , , , , ,,,,,,
4,佐藤　輝明,99.03.13生 139試 率.277 40本,139,25 Tigers,8,内野手,右投左打,F,4,72,0,09 08 07 06 05,12 10 09 08 06,17 15 13 11 09,** 16 14 ** 10,21 19 17 14 12,25 23 20 17 14,34 30 26 22 18,39 35 30 25 21,51,62 60 58 56 54,100,87 80 73 66 60,S,IH,,3B=3,OF=2, , , , , ,,,,,,
5,大山　悠輔,94.12.19生 141試 率.264 13本,141,25 Tigers,3,内野手,右投右打,S,3,66,0,03 02 02 02 02,05 04 04 03 **,08 07 06 06 05,** ** 07 ** **,14 12 11 09 07,19 17 14 12 10,29 25 22 19 16,34 30 27 23 19,51,69 66 62 59 56,100,93 89 84 80 76,S,DB,,1B=3, , , , , , ,,,,,,
6,坂本誠志郎,93.11.10生 117試 率.247 2本,117,25 Tigers,12,捕手,右投右打,S,3,60,3,01 01 00 00 00,03 02 02 02 01,07 06 05 04 03,** ** ** ** 04,12 10 09 08 06,16 15 13 11 09,27 24 21 17 14,30 26 23 20 16,51,70 66 63 60 56,100,89 83 78 72 66,A,DB,,C=6(T:0), , , , , , ,,,,,,
7,小幡　竜平,00.09.21生 89試 率.223 5本,89,25 Tigers,38,内野手,右投左打,F,4,67,3,02 02 02 02 01,04 03 03 ** 02,06 05 05 04 03,** ** ** ** **,11 10 09 08 06,16 15 13 11 09,28 24 21 18 15,34 31 27 23 19,51,58 57 56 54 53,100,90 84 78 73 67,B,IH,,SS=4, , , , , , ,,,,,,
8,前川　右京,03.05.18生 69試 率.246 1本,69,25 Tigers,58,外野手,左投左打,S,3,57,0,01 01 01 00 00,03 02 02 02 02,07 06 05 05 04,** 07 06 ** **,13 12 10 09 07,19 17 15 13 10,31 27 24 20 16,34 30 26 23 19,51,61 59 57 55 53,100,94 90 87 83 79,C,DB,,1B=2,OF=3(L), , , , , ,,,,,,
9,木浪　聖也,94.06.15生 72試 率.193 0本,72,25 Tigers,0,内野手,右投左打,-,3,59,3,00 00 00 00 00,02 01 01 01 01,05 04 04 03 03,06 05 05 04 **,10 09 08 07 06,15 13 12 10 08,24 21 19 16 13,28 25 21 18 15,51,61 59 57 55 53,100,90 85 79 73 68,B,負傷30(DB),,3B=1,SS=2, , , , , ,,,,,,
10,熊谷　敬宥,95.11.10生 85試 率.224 1本,85,25 Tigers,4,内野手,右投右打,F,5,65,3,01 01 01 00 00,02 ** ** 01 01,03 03 03 02 02,05 04 04 03 **,10 09 08 07 05,16 14 12 10 08,27 24 21 17 14,31 27 24 20 16,51,57 56 54 53 52,100,90 85 80 75 69,B,IH,,1B=2,2B=1,3B=1,SS=4,OF=3, , ,,,,,,
11,_寺　望夢,02.10.17生 67試 率.231 2本,67,25 Tigers,67,内野手,右投左打,F,4,64,3,02 02 02 01 01,03 03 03 02 02,06 05 04 04 03,** ** ** ** **,11 10 08 07 06,16 14 12 11 09,27 24 20 17 14,32 28 24 21 17,51,64 61 59 57 54,100,89 84 78 72 66,C,IH,,2B=1,3B=1,SS=1,OF=3, , , ,,,,,,
12,梅野隆太郎,91.06.17生 52試 率.220 0本,52,25 Tigers,2,捕手,右投右打,-,4,59,3,01 01 00 00 00,02 02 01 01 01,05 04 03 03 02,** ** ** ** **,10 09 07 06 05,15 13 11 10 08,25 22 20 17 14,30 26 23 20 16,51,59 58 56 55 53,100,88 82 75 69 63,D,DB,,C=5(T:4), , , , , , ,,,,,,
13,ヘルナンデス,96.03.02生 47試 率.229 1本,47,25 Tigers,95,内野手,右投右打,S,2,25,2,02 02 02 02 01,04 03 03 ** 02,06 06 05 04 03,** ** ** ** **,11 10 09 08 06,16 15 13 11 09,27 24 21 17 14,33 29 25 21 18,51,57 56 55 54 52,100,89 83 77 71 65,D,,外国人,1B=2,3B=1, , , , , ,,,,,,
14,糸原　健斗,92.11.11生 61試 率.203 0本,61,25 Tigers,33,内野手,右投左打,S,3,60,2,00 00 00 00 00,01 01 ** ** **,02 ** 01 01 01,** ** ** ** **,07 06 05 05 04,13 11 10 08 07,24 21 18 15 13,30 27 23 20 16,51,61 59 58 56 54,100,90 85 80 75 69,C,,,1B=2,3B=1, , , , , ,,,,,,
15,豊田　寛,97.04.28生 33試 率.232 0本,33,25 Tigers,61,外野手,右投右打,S,2,25,2,00 00 00 00 00,02 02 01 01 01,06 05 04 04 03,** ** ** ** **,11 09 08 07 06,15 14 12 10 08,25 22 19 16 14,32 28 24 21 17,51,58 56 55 54 52,100,88 81 75 68 61,D,,,OF=2, , , , , , ,,,,,,
16,中川　勇斗,04.01.27生 25試 率.268 2本,25,25 Tigers,68,捕手,右投右打,S,2,25,2,02 02 02 01 01,03 ** ** 02 02,05 04 04 03 **,** ** ** ** **,10 09 08 07 06,16 14 12 11 09,28 24 21 18 15,32 28 24 21 17,51,57 55 54 53 52,100,88 81 74 67 60,E,,,OF=2, , , , , , ,,,,,,
