#,階級,名前,CCV表,リーダー,武器カテゴリ,X値,武器名,射程0,射程1,射程2,射程3,射程4,射程5,士気,PT,戦死表,パニック,CCV裏,戦死裏,ルート/RNC,暴走(BERSERK),裏面備考
1,軍曹,ROSTOV,9/4,分隊長,半自動小銃,X6,トカレフ SVT-40,0,1,2,2,3,3,4,40,8,5,5/0,9,0r RNC > 5,(RR5) 0r RNC ≤ 5,手札数減少
2,伍長,BURLAK,5/4,副分隊長,軽機関銃,[X5-6] X6,DP 1928,3[2],4[2],5[3],6[3],7[4],8[4],4,67,8,5,1/0,9,0r RNC > 5,(RR5) 0r RNC ≤ 5,分隊長時のみ手札数減少 / 副武器使用不可
3,兵卒,PETROVSKY,10/5,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,5,15,8,5,6/1,9,0r RNC > 5,(RR5) 0r RNC ≤ 5,
4,兵卒,YASTREBOFT,9/4,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,4,12,8,4,5/0,9,0r RNC > 4,(RR5) 0r RNC ≤ 4,
5,兵卒,STORCHILLO,8/3,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,3,9,8,3,4/-1,9,0r RNC > 3,(RR5) 0r RNC ≤ 3,
6,兵卒,SOLOVIEV,8/3,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,3,10,8,4,4/-1,9,0r RNC > 4,(RR5) 0r RNC ≤ 4,
7,兵卒,KRISTOV,8/3,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,3,9,8,3,4/-1,9,0r RNC > 3,(RR5) 0r RNC ≤ 3,
8,兵卒,CHERNENKO,10/5,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,5,15,8,5,6/1,9,0r RNC > 5,(RR5) 0r RNC ≤ 5,
9,兵卒,NOSENKO,7/2,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,2,6,8,2,3/-2,9,0r RNC > 2,(RR5) 0r RNC ≤ 2,
10,兵卒,KVASNIKOV,6/1,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,1,4,8,2,2/-3,9,0r RNC > 2,(RR5) 0r RNC ≤ 2,
11,兵卒,SOKOLOFF,7/2,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,2,7,8,3,3/-2,9,0r RNC > 3,(RR5) 0r RNC ≤ 3,
12,兵卒,VAKUTA,10/5,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,5,17,8,6,6/1,9,0r RNC > 6,(RR5) 0r RNC ≤ 6,
13,兵卒,ZAHAROFF,9/4,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,4,14,8,5,5/0,9,0r RNC > 5,(RR5) 0r RNC ≤ 5,
14,兵卒,ZAYAKOV,7/2,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,2,8,8,2,3/-2,9,0r RNC > 2,(RR5) 0r RNC ≤ 2,
15,兵卒,UIHAILOFT,8/3,,ボルトアクション小銃,X6,モシン・ナガン M1891/30,0,1,2,2,3,3,3,10,8,4,4/-1,9,0r RNC > 4,(RR5) 0r RNC ≤ 4,
16,伍長,SEMENOV,4/4,,中機関銃,[X5-6] X6,マキシム PM1910,6[3],7[4],8[4],9[5],10[5],11[6],4,69,8,4,0/0,9,0r RNC > 4,(RR5) 0r RNC ≤ 4,副武器使用不可 / 移動射撃不可
17,伍長,KIRILENKO,3/4,,火炎放射器 *,X5-6,ROKS-2,NA,NA,NA,NA,NA,12,4,48,7,4,-1/0,8,0r RNC > 4,(RR5) 0r RNC ≤ 4,* 防御TEMなし、FF/INFボーナスなし / * 移動射撃半減なし / 副武器使用不可
18,兵卒,MIHAILOFT,3/3,,対戦車ライフル(効果0),X6,PTRS 41,5/1,5/1,5/1,5/1,5/1,5/1,3,12,8,4,-1/-1,9,0r RNC > 4,(RR5) 0r RNC ≤ 4,側面: -1命中頻度 / 副武器使用不可 / 移動射撃不可
19,政治委員,DOTTSKI,6/3,,短機関銃,X6,PPSh 41,0,0,1,3,4,5,3,33,8,3,2/-1,9,0r RNC > 3,(RR5) 0r RNC ≤ 3,"集団: 士気+1, 釘付けはRPNチェック / 利用可能: 1941-1942年10月"
20,兵卒,KNEZEVEICH,7/4,,短機関銃,X6,PPSh 41,0,0,1,3,4,5,4,14,8,4,3/0,9,0r RNC > 4,(RR5) 0r RNC ≤ 4,
